0,00 GAZP|248|129|Max Williams A/D | 4|1|1||3 дня падения, 1 дня в
 0,00 GAZP|214|129|Max Williams A/D | 5|1|1||3 дня падения, 1 дня в
 0,00 GAZP|214|129|Max Williams A/D | 5|1|2||3 дня падения, 1 дня в
 0,00 GAZP|185|129|Max Williams A/D | 6|1|1||3 дня падения, 1 дня в
 0,00 GAZP|185|129|Max Williams A/D | 6|1|2||3 дня падения, 1 дня в
 0,00 GAZP|164|129|Max Williams A/D | 7|1|1||3 дня падения, 1 дня в
 0,00 GAZP|164|129|Max Williams A/D | 7|1|2||3 дня падения, 1 дня в
 0,00 GAZP|152|129|Max Williams A/D | 8|1|1||3 дня падения, 1 дня в
 0,00 GAZP|152|129|Max Williams A/D | 8|1|2||3 дня падения, 1 дня в
 0,00 GAZP|141|129|Max Williams A/D | 9|1|1||3 дня падения, 1 дня в
 0,00 GAZP|141|129|Max Williams A/D | 9|1|2||3 дня падения, 1 дня в
 0,00 GAZP|132|129|Max Williams A/D |10|1|1||3 дня падения, 1 дня в
 0,00 GAZP|132|68|Max Williams A/D |10|1|1||4 дня падения, 1 дня в
 0,00 GAZP|132|129|Max Williams A/D |10|1|2||3 дня падения, 1 дня в
 0,00 GAZP|132|68|Max Williams A/D |10|1|2||4 дня падения, 1 дня в
 0,00 GAZP|132|68|Max Williams A/D |10|1|3||4 дня падения, 1 дня в
 0,00 GAZP|127|129|Max Williams A/D |11|1|1||3 дня падения, 1 дня в
 0,00 GAZP|127|68|Max Williams A/D |11|1|1||4 дня падения, 1 дня в
 0,00 GAZP|127|129|Max Williams A/D |11|1|2||3 дня падения, 1 дня в
 0,00 GAZP|127|68|Max Williams A/D |11|1|2||4 дня падения, 1 дня в
 0,00 GAZP|127|68|Max Williams A/D |11|1|3||4 дня падения, 1 дня в
 0,00 GAZP|121|129|Max Williams A/D |12|1|1||3 дня падения, 1 дня в
 0,00 GAZP|121|68|Max Williams A/D |12|1|1||4 дня падения, 1 дня в
 0,00 GAZP|121|129|Max Williams A/D |12|1|2||3 дня падения, 1 дня в
 0,00 GAZP|121|68|Max Williams A/D |12|1|2||4 дня падения, 1 дня в
 0,00 GAZP|121|68|Max Williams A/D |12|1|3||4 дня падения, 1 дня в
 0,00 GAZP|112|129|Max Williams A/D |13|1|1||3 дня падения, 1 дня в
 0,00 GAZP|112|68|Max Williams A/D |13|1|1||4 дня падения, 1 дня в
 0,00 GAZP|112|129|Max Williams A/D |13|1|2||3 дня падения, 1 дня в
 0,00 GAZP|112|68|Max Williams A/D |13|1|2||4 дня падения, 1 дня в
 0,00 GAZP|112|68|Max Williams A/D |13|1|3||4 дня падения, 1 дня в
 0,00 GAZP|107|129|Max Williams A/D |14|1|1||3 дня падения, 1 дня в
 0,00 GAZP|107|68|Max Williams A/D |14|1|1||4 дня падения, 1 дня в
 0,00 GAZP|107|129|Max Williams A/D |14|1|2||3 дня падения, 1 дня в
 0,00 GAZP|107|68|Max Williams A/D |14|1|2||4 дня падения, 1 дня в
 0,00 GAZP|107|68|Max Williams A/D |14|1|3||4 дня падения, 1 дня в
 0,00 GAZP|103|129|Max Williams A/D |15|1|1||3 дня падения, 1 дня в
